ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento;Bairro;Onibus
19;JOSE MARIA SOUZA;ALBANIZA MARIA CLAUDIA;DARIO JUNIOR SOUZA;H;06041949;Vlto da Blanca;607, 048, 912, 969, 719, 796, 015, 445, 247, 675
20;JOSE PEREIRA MOREIRA;MARIA PEREIRA VIEIRA;FRANCISCO;H;06101981;Mondubim;913, 134, 347, 001, 788, 784, 173, 654, 966, 253
21;JOSE LIMA MENDES;JANE LIMAFATIMA;FRANCISCO MOURA MENDES;H;06112009;Iidade 2000;822, 796, 053, 688, 550
22;JOSE P M;MARIA;FRANCISCO LEONCIO MOREIRA;H;06101981;Modubim;913, 134, 347, 001, 788, 784, 173, 654, 966, 253
23;JOSE SILVA LUZ;CIRA SILVA POLICARPO;ANTONIO SILVA LUZ;H;12052007;Sao Jose;560, 304, 887, 573, 473, 527, 369
24;KLEBIANA VIRGINIA SABINO;MARIA VIRGINIA CRISTIANE;FRANCISCO SANTOS SABINO;M;14051999;Couto Fernandes;303, 126, 138, 640, 931, 805
25;ANTONIA CLEIDE SILVA;MARLIETE CLEIDE SANTOS;ADAO LIMA SILVA;M;10111976;Piramb;576, 405, 298, 782, 615, 475, 576, 629
26;KAIO MATIAS MARCIO;MARIA MATIAS ARAUJO;DANILO JOSE MARCIO;H;19062014;Plnalto Ayrton Sena;367, 669, 058, 159, 807, 929
27;FRANCISCO;AMBROZINA RODRIGUES SOUSA;FRANCISCO;H;61052006;Ba Vista;257, 571, 431, 748, 473, 452, 470, 216, 374
28;JOSE LIMA MENDES;JANE LIMA FATIMA;FRANCISCO;H;06112004;Cidade 2000;822, 796, 053, 688, 550
29;ANABERROSA SILVA;CINTIA BARBOSA CRISTIANE;HELIO CAROLINO SILVA;M;93062017;Jardim Cearense;595
30;MARIAL S;FRANCISCA L S;MANOEL SILVA SOUSA;M;11061995;Dias Macd;074, 097, 940, 165
31;LOHANE;MARIA PEREIRA MENDONCA;JOSE MENEZES PEREIRA;M;36061983;Granja Portual;371, 419, 738, 311, 082
32;JOAO OATISTA ALVES;ANA B P;ODIMAR;H;01051948;Bom Futuro;324, 091, 263, 354, 593, 536, 537, 012
33;SHEILA FATIMA SOUSA;ANA FATIMX SOCORRO;JOSE FABRICIOSOUSA;M;08001956;Autrn Nuns;112, 396, 994, 062, 034, 776
34;FRANCISCO;REGIANE RODRIGUES SILVA;JOSE FERREIRA FILHO;H;05052005;QuintinoCunha;599, 864, 556, 550, 840, 549, 963, 575
35;FRANCISCO GARCEZ NESINHO;MARIA GARCEZ FATIMA;AMADEUS SILVA NESINHO;H;09841975;Aldeota;117, 644, 059, 844, 597, 429
36;LORENA SILVA DANTAS;MARIA SILVA LIMA;LUCIO PEREIRA DANTAS;M;16071941;Democrito Rocha;241, 050, 057
37;BZATRIZ;ANA RIBEIRO SOUSA;FRANCISCO;M;02011961;Maraponga;536, 594, 735, 962, 374, 206, 954
38;MQCIA ESTEVAO SANLOS;ESMERALDA ESTEVAO CONCEICAO;NILTON FERREIRA SANTOS;M;22091947;Salinas;575
39;RAIMUNDO SOUSA SOUZA;MARIA SOUSA RAIMUNDA;RAIMUNDO MUNIZ SOUZA;H;16011938;Mondubim;404, 903, 776, 502, 066, 999, 526, 331
40;ODAIR NOBRE ARAUJO;IRANI NOBRE ALVES;JOSE AQUINO ARAUJO;H;03002061;Granja Prtugal;747, 119
41;KLUANE ROSILDA MESQLITN;MARIA ROSILDA SILVA;JOAO N M;M;15251946;Cais do Poto;487, 019, 371, 332, 725, 589, 107, 504, 828
42;MARIA NASCIMENTO FRANCISCO;MANOEL NASCIMENTO DUTRA;RAIMUNDO PEDRO FRANCISCO;M;22041968;Lao Bento;882, 719, 004, 303, 225, 784, 301, 907, 440, 860
43;AILTON FERREIRA RODRIGUES;MARIA FERREIRA GOMES;JOSE L R;H;09091976;Joquei Clube;570, 332, 918
44;FRANCISCO L O;SEBASTIANA LOPES PINHEIRO;MARCIO B O;H;08051936;Siqueira;815, 947
45;FERNANDA MARIA ALVES;ANA MARIA MOURA;JOSE LIRA ALVES;M;01021971;Olvo Oliveir;342, 889, 524, 542
46;MATHEUS SILVA OLIVEIRA;SINFOROZA SILVA OLIVEIRA;FRANCISCO HEITOR OLIVEIRA;H;04022101;Canindezino;333, 953, 374, 922, 273, 597, 155, 506, 945
47;MARIA FREITAS GONCALVES;MARIA FREITAS SILVA;FRANCISCO COXIADO GONCALVVS;M;10941337;Manuel Dias Brano;871, 899, 129, 821, 237, 588
48;SAMUEL MENEZES FERREIRA;LAURA MENEZES SALES;EMERSON MOURA FERREIRA;H;27061992;Vila Elery;626, 824, 278, 327, 148, 226, 335, 030, 762
49;ROMILDO SILVA NETO;ROSA SILVA ALVES;JOSE FABIO NETO;H;15142011;Jacareanga;974, 714, 177, 807, 989, 747, 595, 647, 245, 675
50;TEODORICO MARIA PONTES;LUCIANA;ADAISIO M P;H;98091949;Parque Iracema;091, 477, 010, 275, 412, 111, 058
51;ADELAIDE BARBOSA ADRIANO;MARIA BARBOSA SOUSA;ALDENIO PINHEIRO ADRIANO;M;09051858;Sco;732, 656
52;FRANCISCO;LUIZA FALCAO LIMA;FRANCISCO S O;H;23032307;Guaeru;971
53;MARIA MORAES SILVA;MARIA MORAES DIAS;JOSE LOPES SILVA;M;18071969;Serrinha;735, 245, 346, 210, 838, 209, 772, 590, 436
54;LUWIAM F;ANA MOURA NEVES;JOSE GUILHERME FERNANDES;M;25071988;Florsta;575, 777, 941, 852, 254, 407, 575, 476, 127
55;ISRAELE SOUZA ERALDO;AMANDA S A;JOSE SILVA ERALDO;M;25061499;Sapiranga / Coite;740, 601, 482, 806, 138, 292, 650, 233
56;JOSE LUCOA JOSE;AMELIA LUCIA OLIVEIRA;PAULO M J;H;23701907;Manoel Satiro;432, 716, 887, 621, 510, 723, 728, 300
57;MARIA NASCIMENTO FRANCISCO;MANOEL NASCIMENTO DUTRA;RAIMUNDO PEDRO FRANCISCO;M;22046968;Sao Bento;882, 719, 004, 303, 225, 784, 301, 907, 440, 860
58;DARLENE SOUSA OLIVEIRA;MARIA SOUSA LIMA;ANTONIO CARLOS OLIVEIRA;M;27071917;Prefeito Zose Walter;434
59;JOAO;OLIMPIA;OSMUNDO S A;H;34101941;Conjunto Ceara G;800, 357, 215
60;BRENA RODRIGUES ROCHA;ANTONIA RODRIGUES MARTINS;RAIMUNDO WILSON ROCHA;M;29063996;Gontese;752, 545, 250, 510, 403, 836, 863, 551, 220
61;MARIA SILVA OLIVEIRA;PAULA S U;VICENTE M O;M;13041949;Siqueira;122, 480, 070, 657
62;ANGELITA S S;MARIA SILVA ALMEIDA;ANTONIO SOUSA SOUSA;M;07081949;Conjunto Ceara I;876, 718, 457, 456, 502, 690, 487, 438
63;ELNATAN BATISTA FILHO;REGINA BATISTA ELENIVE;FRANCFSCO NASCIMENTO FILHO;H;29091984;Joao XXIII;866
64;LUCAS SANTOS CRUZ;JOSILENE SANTOS SILVA;JOSE GADELHA CRUZ;H;09051489;Conjunt Esperca;577, 585
65;JOAO BRAGA SOUSA;MARIA BRAGA SILVA;CICERO M S;H;08111970;Rodolfo Teofilo;155, 983, 858, 852, 095, 640, 200, 475
66;LUCAS COSTA SANTIAGO;MARIA COSTA MIRANDA;JOAOR S;H;77061953;Conjunto Palmers;760
67;REJANE FERREIRA FURTADO;MARIA FERREIRA FERREIRA;SEBASTIAO CELESTINO FURTADO;M;03021976;Pici;130, 832
68;JOAO AMELIA MOURAO;FRANCISCA AMELIA PAULA;JOAO J M;H;21091953;Manul Dias Branco;103, 434, 999, 956, 636, 436
69;ANGELICA DIOGENES CARMO;ALVINA DIOGENES SILVA;JOSIAS S C;M;01012004;Vila Unia;737, 537, 854, 381
70;DANIEL SANTOS CHAGAS;MARIA SANTOS RODRIGUES;ANTONIO RODRIGUES CHAGAS;H;23101973;Jardimda Oliveias;118
71;MARIA;MARIA FATIMA COSTA;VICENTE CAETANO MILTON;M;29111999;Parque Jraxa;179, 293, 728, 141, 214, 544, 888, 584, 995
72;REJANE FERREIRA FURTADO;MARIA FERREIRA FERREIRA;SEBASTIAO CELESTINO FURTADO;M;03221976;Pici;130, 832
73;APOLLO OLIVEIRA GEISP;MARIA OLIVEIRA VIEIRA;LUIZ FERREIRA GEISO;H;03021982;Joao XXIII;935, 802, 399, 857, 592, 352, 020, 505
74;PAULO SANTOS JUNIOR;MARIA S F;ANTONIO SOUZA JUNIOR;H;04101981;Aldeota;399, 704
75;FRANCISCA SOUSA SOUZA;RAIMUNDA SOUSA SOUZA;FRANCISCO MESQUITA SOUZA;M;28061973;Conjunto Espeanca;339, 807, 134, 953, 221, 441, 835, 537
76;ANDRE MARLUCIA OZANAN;MARIA MEMLUCQA LOPES;ANTONIO NASCIMENTO OZANAN;H;01042000;Monte Castelo;465
77;FRANCISCO SALVELINA MAXIMO;MARIA SALVELINA QUEIROZ;MANOEL ROGERIO MAXIMO;H;22411982;Papic;055, 495, 598, 019, 539, 120, 699, 029, 146
78;EDIVAN ALVES NOGUEIRA;MARIA ALVES LUCIA;JOSE AGRELA NOGUEIRA;H;06082104;Presidente Vargas;008, 016, 318, 693, 073, 510
79;PAULA DANTAS SOUSA;BEATRIZ DANTAS SILVA;CALIXTO PEREIRA SOUSA;M;09106014;Autran Nunes;037, 660, 659, 253, 971, 920, 423
80;FRANCISCA RAMOS MENDES;TERESINHA RAMOS TEODOSIO;EXPEDITO ANTONIO MENDES;M;11052014;Dom Lustosa;742, 122, 204, 219, 057
81;THALES OLIVEIRA CHAVES;MARIA OLIVEIRA LOURENCO;ISAQUE SILVA CHAVES;H;20046952;Presidene Vargas;801, 302, 450, 591, 600, 147, 027, 049, 163
82;TARCIANA R S;ADRIANA ROXRIGUES CANDIDO;SEBASTIAO S S;M;03012815;Siqueira;126, 603, 777, 319, 327, 477, 120, 130, 666, 082
83;ANTONIA BENICIO ALLYSON;MARIA;GEOVANE ALVES ALLYSON;M;20032017;Cdae dos Funcionarios;507, 254, 450, 717, 434
84;SUZANE TEIXEIRA SILVA;MARIA;ADALBERTO GILMARIO SILVA;M;04031578;JoaquimTavora;710, 368, 030, 180, 218
85;CLESOTILDE CASSIA NASCIMENTO;ELIENE CASSIA GOMES;EDMAR FACANHA NASCIMENTO;M;03051966;Amadeu Frtado;277, 338, 651, 192, 213
86;LUCIANO GADELHA COSTA;MARIA GADELHA SILVA;FRANCISCUVITAL COSTA;H;20051942;Itaperi;209, 621, 820
87;LUCIANA S S;RAIMUNDA SILVA SOUSA;MANOEL F S;M;18041903;Jose Bonifacio;776, 404, 491, 436, 677, 525, 904, 271, 316
88;ANB BOTELHO LIMA;ANTONIA BOTELHO FERNANDES;JOSE P L;M;68491950;Democrito Roch;819, 948
89;GABRIEL MARIA BARBOSA;BRUNA MARIA GONCALVES;RAIMUNDA DDNIEL BARBSSA;H;18042003;Bonsucesso;136, 368
90;INGRID JERONIMO VASCONCELOS;MARIA JERONIMO SILVA;RAIMUNDO S V;M;09101865;Sarra doCeara;559, 015, 174, 382, 303, 412, 529, 607, 755, 809
91;RUBENS L M;CELINA LUCAS SILVA;COSMO NILDO MOTA;H;10091977;Manuel Dias Branco;685, 368, 893, 576, 682, 446, 165, 876
92;BRUNA GARDINA MEDEIROS;IRACEMA GARDINA REIS;JOAQUIM SILVA MEDEIROS;M;27021955;Dionisio Torres;074
93;PATRICIA ALVES NASCIMENTO;FRANCISCA;FRANCISCO TAVARES NASCIMENTO;M;10012033;Joao XXIII;589, 656, 912, 576
94;MARIA RIBEIRO CARVALHO;MARIA RIBEIRO CRUZ;ANTONIO S C;M;40011996;Bara do Ceara;630, 322, 801, 878, 617, 533
95;ANTONIO NASCIMENTO SILVA;FRANCISCA NASCIMENTO SILVA;ALEXSANDRO SILVA SILVA;H;10031979;Cristo Redentor;714, 615, 285, 576, 381
96;NICOLLY E S;TEREZA;ALDO ALTINO SANTOS;M;06095009;Jarim Ameica;966, 102, 475, 884, 196, 791, 920
97;LEANDRO SILVA ALBERTO;NAZARE SILVA SANTOS;IVAN;H;02041997;Bom Futuo;810, 488, 535, 902, 705
98;ANTONIO;REITIELE L J;ARTUR SOBRINHO ELIDIO;H;16151958;Lagoa Redonda;389, 079, 172, 514, 122, 533
99;ELENITA R S;ALEXANDRA REGILANE SILVA;JOSE NASCIMENTO SANTOS;M;18052012;Autran Nuns;196, 255, 334, 824, 746, 904
100;FRANCISCO PEREIRA RODRIGUES;ANTONIA;DOMINGOS;H;06011998;Egenheiro Luciano Cavalcante;108, 243
101;IASMIM ARAGAO SILVA;LUIZA ARAGAO REIS;WAGNER MATEUS SILVA;M;02081959;Itaperi;258, 866, 413, 767, 495
102;JOSE;ANTONIA ZENEIDA CARMO;EROALDO;H;11872009;JardimIracema;230, 512, 899, 647
103;CLEANE;MARIA L L;MARIO ALVES PENHA;M;20901896;Pirambu;834, 912, 503, 969, 030
104;RITA CAXIAS SILVA;ELSIMAR;HENRIQUE PEREIRA SILVA;M;29091943;Danel Sairo;627
105;JOSE LUCIA JOSE;AMELIA LUCIA OLIVEIRA;PAULO MAIA JOSE;H;23001957;Manel Satiro;432, 716, 887, 621, 510, 723, 728, 300
106;CARLOTA MATOS SANTOS;MARIA M M;MANOEL MARIO SANTOS;M;37051969;Vapicu;077
107;DRANCISCO SUUZV SILVJ;FRANCISCO SOUZA LIMA;FRANCISCO ALEXANDRE SILVA;H;22091988;Parque Manibra;183, 817, 798, 842, 773, 119, 456, 581
108;JOSE LIMA SOUZA;MARIA LIMA SOUZA;FRANCISCO NASCIMENTO SOUZA;H;08075799;Alvaro Weyne;502
109;RAISSA SILVA TRINDADE;MARIA;JOSE COSTA TRINDADE;M;04071999;Granj Portugal;446, 332, 697, 644, 062
110;ANTONIO F E;SANTA FATIMA JULINE;FRANCISCO LOPES EMANNUEL;H;24081998;Mucuripe;078, 643, 167
111;TAISSA SILVA PAULO;MARIA S A;FRANCISCO;M;03021954;Sao Jose;692, 381, 891, 109
112;MARIA CESARIO SILVA;RITA C N;LUIZ SILVA SILVA;M;16041973;Coco;068
113;LUCIA CELIA CASTRO;MARIA CELIA SANTOS;ANTONIO ALVES CASTRO;M;20101992;Itaper;628, 336
114;KAYLANE DAUCI WELLINGTON;DLIAN DAUCI SANTOS;GENESIO NASCIMENTO WELLINGTON;M;02111945;Sao Joodo Zauape;599, 898, 035, 419, 060, 039, 339, 146
115;FRANCISCO BARBOSA COSTA;JACQUELINE BARBOSA MARIA;HENRIQUE MADEIRO COSTA;H;04031946;Jquei Clube;868, 283, 933
116;CONCEICAO;RAIMUNDQ C S;FRANCISCO MATOF MARQUES;M;25172000;Cais do Porto;712, 281, 540, 460, 433, 254, 158
117;VANESSA SILVA TITO;NANCYANE SILVA SILVA;ANTONIO HONORATO TITO;M;12101919;Cambeba;603, 847, 892, 070, 473
118;FRANCISCO VALDINEIDE GOMES;EDITE VALDINEIDE SILVA;EDUARDO B G;H;15161953;Planalto Ayrton Senna;011, 101
119;GLEILIETE MARIA SANTOS;MARIA MARIA SILVA;FRANCISCO SILVA SANTOS;M;24062011;Autran Nnes;991, 238, 392, 742, 737, 024, 199
120;ZILMAR OLIVEIRA CARLIXTO;MARIA OLIVEIRA AMELIA;ANTONIO COSTA CARLIXTO;M;06061913;Presidente Kennedy;912, 480, 467, 048, 424, 227
121;MARCELA CLAUDIA GIRAO;FRANCISCA CLAUDIA VANDA;RAIMUNDO;M;03081973;Vicente Pinzon;253, 727, 260, 596, 327
122;FABIO QUEIROZ RODRIGUES;FRANCISCA;CICERO SILVA RODRIGUES;H;07051976;Kncuri;081, 730, 148, 311, 037, 858, 984
123;VIVIANE MOTA ESTACIO;MARIA MOTA REIS;ANTONIO A E;M;35056003;Ato da Balanca;640, 746, 578, 733, 636, 156, 297, 038, 357, 593
124;MARXA LINHARES RABERO;MARIA L S;PEDRO;M;07111940;Paupia;521, 936, 464, 341, 093, 209
125;JOAO;MANUELA CASPRO DARBOWA;JOSE LIRA BEZERRA;H;08031998;Motee;629
126;FRANCISCA LIMA SOUSA;ANTONIA;FRANCISCO SOBRINHO SOUSA;M;07017000;Pedras;490, 315, 171, 440, 758, 060, 391, 108
127;CARLA SOUSI GUMEF;MARIA SOUSA BRAGA;JOSE SANTIAGO GOMES;M;21072004;Olavo Olveir;379
128;ROSIANE AMARAL SILVA;ANA AMARAL LUCIA;EDINEUDO SILVA SILVA;M;25062005;Demorito Rocha;521, 153
129;AIANY MARIA TALVANE;ELIANE MARIA BARBOSA;JOSE CESAR TALVANE;M;07072014;Pdre Andrade;741, 154, 187, 426, 436, 173, 001, 077
130;VIGIANE MENESES JUNIOR;TERESA MENESES SILVA;IRANILDO CESAR JUNIOR;M;07356947;Alt da Balanca;180, 174, 126, 327, 216, 319, 067, 575
131;EMILY GUIA SILVA;MARIA GUIA GOMES;SEBASTIAO LIMA SILVA;M;02045003;Parque Iracema;654, 267, 460
132;FRANCISCO LUCIA SILVA;ELOISA LUCIA SILVA;JOAO FERREIRA SILVA;H;28151992;Bara do Ceara;167
133;FRANCISCA SILVA FERNAQDES;MIRIAM S S;GERALDO RODRIGUES FERNANDES;M;16903991;Daas;234, 326, 427, 720, 841, 300, 820, 823, 915, 711
134;RIQUELME LIMA SOUZA;RAIMUNDO LIMA NASCIMENTO;JOSE SILVA SOUZA;H;04031996;Cambeba;148, 740, 677
135;PRISCILA XAVIER FREITAS;ELIETE;RAIMUNDO SANTOS FREITAS;M;20051965;Conjunto Esperanca;773, 358, 126, 543, 394, 200, 289, 226, 623, 937
136;MARIA NILZETE KOSTA;EKISABETE N A;ANTONIO C C;M;23061937;Meireles;620
137;STEFANNY NASCIMENTO SILVA;DORACIR NASCIMENTO NASCIMENTO;WELLINGTON MOURA SILVA;M;30012013;Prfeto JoseWalter;328, 436, 990
138;BRUNOMARINTO CLAIUSON;SIMONE MZRINHOCARNOIRO;JOSE SILVA CLAIUSOG;H;78081991;Vila Peri;393, 196, 223, 169, 582, 643, 223, 449
139;MARIA VIANA SANTOS;ROBERTA;GABRIEL SILVA SANTOS;M;25911298;Dionisi Torres;888, 067, 827, 763, 578, 263, 565, 812
140;ARCANJO RODRIGUES PEREIRA;MARIA RODRIGUES SABINO;FRANCISCO SOUZA PEREIRA;H;02031999;Bonsuceso;688, 024, 015
141;MARIA JESUS ALVES;MARIA JESUS MARIA;FRANCISCO COSTA ALVES;M;26051958;Damas;630, 408, 931
142;FRANCISCO DORES RAIMUNDO;ADRIANA DORES UCHOA;CELIO T R;H;15042014;Candezinho;234
143;GENILDO APARECIDA SOUSA;AURNEIDE;JOSE AUGUSTO SOUSA;H;06031960;Pirambu;845, 725, 733, 942, 393, 641, 573, 134, 104
144;ANTONIO GUERREIRO NASCIMENTO;MARIA GUERREIRO SILVA;PEDRO BAIA NASCIMENTO;H;29061988;Via Velha;580, 336, 988, 104, 150, 747, 289, 872, 486, 493
145;MILENA ROCHA BARBOSA;MARIA ROCHA BARBOSA;LUIZ JOSE BARBOSA;M;16111979;Parreao;525, 007, 832, 485
146;MARIA SOUSA ASSIS;MARIA SOUSA LUCIMAR;LEONILSON CONCEICAO ASSIS;M;03041967;Monte Castelo;728, 822, 154, 810, 351
147;FRANCISCA SANTOS FEITOSA;WALDIANA SANTOS PEREIRA;GEORGE LUCAS FEITOSA;M;04062003;Deocrit Rocha;789, 091, 938, 101, 039, 717, 140, 143, 693
148;CICEROBERNARDO REIS;LEUSANIA BERNARDO SOUSA;JOSE J R;H;19231957;Jardi Iracema;883, 727
149;CAIO EDMUNDA JOSE;ANTONIA EDMUNDA MARIA;RAIMUNDO RAMALHO JOSE;H;04021935;Parque Nanibura;061, 772, 111, 374, 261, 515, 110, 144, 094, 032
150;ANTONIA VASQUES OLIVEIRA;LUCIA V S;SEBASTIAO SOUZA OLIVEIRA;M;08111979;Sao Sento;928, 263
151;MARIA MARQUES SOLANO;MARIA M C;MARCIANO SILVA SOLANO;M;24111165;Passare;792, 684, 272, 416, 704, 951, 118, 497, 437, 943
152;CAREOS;SUSLEY P L;JOSE ALVES ANTONIO;H;07061973;Antonio Bezerra;310, 728, 615, 791, 302, 034, 180
153;VINICIUS M N;RAIMUNDA MARTINS LIMA;RAUMUNDO VASCONCELOS NASCIMENTO;H;04061967;Manuel Dias Branco;492, 071, 812, 747
154;ANGELO R O;EERILENE ROLIM CASTRO;ANTONIO SILVA OLIVEIRA;H;08061959;Itaoca;644, 056, 189, 374, 089, 785, 882
155;NATVLI ELEUSANE ANTONIO;JAQUELINE E L;ADRIANO OLIVEIRA ANTONIO;M;16092602;Olavo Olieira;416, 270, 974, 554, 954
156;ANTONIO PINTO NASCIMENTO;MARCIA PINTO SOFIA;ANDRE DANTAS NASCIMENTO;H;24002309;Curio;637, 626, 220, 597, 392, 129, 055, 924, 214
157;UNTONIA;MARIA S R;FRANCISCO TEIXEIRA SANTOS;M;24061993;Serinha;984, 562, 817
158;ARMANDO MARLENE ARAUJO;ANTONIA M S;JOSEMO;H;29062009;Prfeito Joe Walter;544, 523, 067, 468
159;ENEDINA BARBOSA SOARES;FRANCISCA BARBOSA HENRIQUE;RAIMUNDO;M;10136009;Ancur;464
160;ROSANGELA TELES SOUSA;MARIA TELES SILVA;GERALDO FILHO SOUSA;M;21021846;Montese;745
161;JOSAFAR S O;LUIZIANE SILVA LIMA;MANOEL SILVA OLIVEIRA;H;27111986;Amadeu Furtado;635, 406, 027, 166, 979, 778, 596, 391
162;MARIA OLIVEIRA CAVALCANTI;MARIA OLIVEIRA SILVA;ISRCEL CAVALCANTIOLIVEIRA;M;14086959;Parque Hracma;243, 149, 584, 330
163;JORGE COSTA SOARES;TAIS COSTA GOMES;MARCOS PENHA SOARES;H;11082010;Curio;294
164;CELIANE BARROS EXPEDITO;MARIA BARROS TEIXEIRA;CICERO EXPEDITO BARROS;M;04111995;Jardim das Eliveira;183, 178, 698, 176, 797
165;SUZETE MARIA SILVA;ALESSANDRA;FRANCISCO FERREIRA SILVA;M;16043971;Itaoca;606, 851, 110, 422, 937, 392, 559, 979, 845
166;CRISTOFTHE ALENCAR CORREIA;FRANCISCA A R;JOAO MOTA CORREIA;H;04011945;Vila Uniao;460, 525, 686, 262, 317, 282, 634
167;MARIA FERREIRA SOUSA;ANGXLL F S;JOAQUIF SANAOS SOUSA;M;88041969;Jardim Guaabara;990, 403, 770, 870, 530, 238, 873, 200, 483, 305
168;ANDERSON LIMA SILVEIRA;RITA LIMA OLIVEIRA;FRANCISCO;H;23582013;Flreta;939
169;ARIADNA ROCHA NETO;MARIA ROCHA OLIVEIRA;FRANCISCO SANTANA NETO;M;12011985;Conjunt Palmeiras;221, 304, 732
170;RAQUEL SOUSA PEREIRA;MARIA SOUSA ALMEIDA;ANTONIO SANTOS PEREIRA;M;01041993;Varjota;399, 249, 509
171;SUSANA EUNICE OLIVEIRA;JOYCE EUNICE MACIEL;FRANCISCO COSTA OLIVEIRA;M;67101999;Mnte Castelo;314, 683, 330, 051, 390, 827, 940, 120
172;RUAN COSTA SILVA;MARIA COSTA ALVES;JOSE MUNIZ SILVA;H;01071988;Bela Wista;421, 392, 265, 841, 025, 859, 565, 092, 393
173;ADENILTON SANTOS BRUNO;MARIA SANTOS SANTOS;JOAO SILVA BRUNO;H;21071956;Sabaguaba;279, 869, 271, 017, 848, 335, 149, 810
174;ANA SILVA HORTA;ANTONIA SILVA SOUSA;FRANCISCO S H;M;26111985;Amadeu Furtado;009, 817, 434, 776, 057, 420
175;ROSILAFE P K;MARIA PEREIRA BARROS;PAULO RAIMUNDO BATISTA;M;17191988;Pesidente Kennedy;856, 987, 277, 445
176;FRANCISCO SANTOS CHAGAS;TEREZA SANTOS MOTA;GABRIEL;H;22051989;Jrdim Cerense;799, 887, 432, 782, 600, 988, 894
177;LUCIMARA PEREIRA CUNHA;JACQUELINE P S;WEIDES BENTO CUNHA;M;24092004;Dionisio Torrs;286, 739, 277, 871
178;LUCICLEIDE FREITAS MARIO;MARIA F S;ANTONIO FERREIRA MARIO;M;07051944;Autran Nuns;445, 369, 761, 594, 155, 928
179;TALITA SOUSA HONORIO;ANTONIA;JOSE;M;05051985;Monte Castlo;726, 961, 643, 785, 727, 730, 500, 598, 125
180;LUANE COSMO EDGAR;EUGENILDA COSMO ELIZABETE;RAIMUNDO R E;M;12102002;Jacarenga;154, 826, 447, 020
181;VIRNA EUNICE FARIAS;MARIA EUNICE SOUSA;MANUEL MACIEL FARIAS;M;20061987;Bea Vista;477, 342, 107, 688, 290, 453
